model_gross,alpha_ann_gross,t_stat_gross,p_value_gross,stars_gross,r_squared_gross,n_obs_gross,beta_MKTRF_gross,beta_SMB_gross,beta_HML_gross,beta_RMW_gross,beta_CMA_gross,ml_model,strategy,factor_model,beta_UMD_gross,beta_QMJ_gross,model_net,alpha_ann_net,t_stat_net,p_value_net,stars_net,r_squared_net,n_obs_net,beta_MKTRF_net,beta_SMB_net,beta_HML_net,beta_RMW_net,beta_CMA_net,beta_UMD_net,beta_QMJ_net,alpha_diff,cost_drag_pct
logistic_Regime-Switching_FF5,0.006848851986227637,0.5659940340229769,0.5713978361433567,,0.9307044591852036,370,1.1360649261899347,0.6381887895595351,0.10176537791813633,0.24264092100282575,-0.17562085293663282,logistic,Regime-Switching,FF5,,,logistic_Regime-Switching_FF5_NET,0.0008798038857147201,0.07248198360678644,0.9422183427522569,,0.9309307770078195,370,1.1348274445001825,0.6360216580154003,0.10352960021123651,0.24148982735068217,-0.1803043301979901,,,0.005969048100512917,87.15399475001185
logistic_Regime-Switching_FF6,0.021351052567717917,1.8648443187959312,0.062203229112017,*,0.9443526465159157,370,1.0986092756480554,0.6420422633962849,-0.01196367289114695,0.26266399476795044,-0.08910563140062426,logistic,Regime-Switching,FF6,-0.1621104588472245,,logistic_Regime-Switching_FF6_NET,0.015436952987525576,1.3487647311826076,0.17741254638549675,,0.9447120135742519,370,1.0972298753188967,0.6398897325801037,-0.010630367480234286,0.26158876810368104,-0.09346130438276909,-0.16272469182463295,,0.005914099580192341,27.699335016083765
logistic_Regime-Switching_FF7,0.018044595106064425,1.4163100391430035,0.15668474981442215,,0.9452073865528654,370,1.102292776164622,0.657907907791445,-0.01014397546495715,0.1894784050401237,-0.07447408569108592,logistic,Regime-Switching,FF7,-0.19040880589290607,0.11261154545749566,logistic_Regime-Switching_FF7_NET,0.012321457402070628,0.9683710868000297,0.3328590739829326,,0.9454724988603319,370,1.1007006381312041,0.6548390690366503,-0.008915765262027316,0.1926299551262642,-0.07967479220315961,-0.18938868987056556,0.10610775333205637,0.005723137703993797,31.71663132563371
logistic_Buy&Hold Offensive_FF5,0.013808696162364806,1.0387518339911073,0.29892016750049777,,0.9382531608127459,370,1.1520299238765546,0.6712256177512499,0.013457926875519336,0.12894658590124572,-0.1430355515589649,logistic,Buy&Hold Offensive,FF5,,,logistic_Buy&Hold Offensive_FF5_NET,0.007944972439592064,0.5940261111905227,0.5524946488826132,,0.9383093837810206,370,1.1512008269616743,0.6684443665160488,0.01509218796068462,0.1268038411736494,-0.14725935861743503,,,0.005863723722772742,42.46399264511408
logistic_Buy&Hold Offensive_FF6,0.02825884480434901,1.9365116104630498,0.052805071936682504,*,0.9508894283991313,370,1.114708710811609,0.6750652605293329,-0.09986292259635021,0.14889779196474187,-0.056830854281150214,logistic,Buy&Hold Offensive,FF6,-0.16152860482101664,,logistic_Buy&Hold Offensive_FF6_NET,0.022443535586687473,1.5374480654730347,0.12418362365474975,,0.9510488449058274,370,1.1137545710265515,0.6722968738264982,-0.09860833738732243,0.1468218927618436,-0.060765836784221615,-0.16206979838638869,,0.005815309217661536,20.578722371434537
logistic_Buy&Hold Offensive_FF7,0.025918108060983505,1.6575420693983598,0.0974099307902766,*,0.9512888948747789,370,1.1173163672243476,0.68629700847214,-0.09857470622681085,0.09708759904756206,-0.04647276044455041,logistic,Buy&Hold Offensive,FF7,-0.18156182208587116,0.0797209657878353,logistic_Buy&Hold Offensive_FF7_NET,0.02028353971782229,1.299822945494382,0.19366165931787416,,0.9513894945802126,370,1.1161608762613873,0.6826613580964013,-0.09741959113283814,0.0990122435206816,-0.051207547087703795,-0.1805561431899243,0.07356528120973736,0.005634568343161214,21.739890619729906
logistic_Buy&Hold Defensive_FF5,0.005365493353083336,0.4967202882709558,0.6193863134023374,,0.9369470378713592,370,1.073852250272925,0.6190547070133271,0.08905971741789434,0.2803782445411333,-0.03751073576744824,logistic,Buy&Hold Defensive,FF5,,,logistic_Buy&Hold Defensive_FF5_NET,-0.0007088791251697822,-0.06561586072419767,0.9476836612949929,,0.9371872597979363,370,1.0722063838083007,0.6175016951602587,0.09095390091892949,0.28021880196444243,-0.042653883231692634,,,0.006074372478253118,113.21181629574507
logistic_Buy&Hold Defensive_FF6,0.017220260129309533,1.5537335257879892,0.12024799257316363,,0.9475596942547801,370,1.0432342761847346,0.6222047140316594,-0.003907647462332659,0.2967460273679476,0.033210791502831724,logistic,Buy&Hold Defensive,FF6,-0.1325165564234249,,logistic_Buy&Hold Defensive_FF6_NET,0.011207370186586385,1.0119437355120715,0.3115649561792889,,0.9479409100812939,370,1.0414296153114755,0.6206680391021323,-0.0024956218495350113,0.2966714732423068,0.028434428041613568,-0.1332038288128697,,0.006012889942723148,34.917532589934474
logistic_Buy&Hold Defensive_FF7,0.015689544972895052,1.3068358544441956,0.19126846525174046,,0.9477728651195731,370,1.0449395423600143,0.6295496693572871,-0.0030652236711123547,0.2628649650144671,0.03998442432257504,logistic,Buy&Hold Defensive,FF7,-0.14561719637619164,0.05213319736243772,logistic_Buy&Hold Defensive_FF7_NET,0.009877837908068685,0.824573056209763,0.40961402350508924,,0.9481021882287637,370,1.0429107572561391,0.6270476422234367,-0.0017639183592255314,0.26724342071362844,0.03431779794158111,-0.14458264322745729,0.045281297689656996,0.0058117070648263675,37.04190959563555
logistic_Static 60/40_FF5,0.010431416788128874,0.8820241265579856,0.3777637603869477,,0.9426546706763183,370,1.1207588891731655,0.6503572733080463,0.04369864312701327,0.18951925749039022,-0.10082563011296411,logistic,Static 60/40,FF5,,,logistic_Static 60/40_FF5_NET,0.0044623686876159524,0.3747237667098487,0.7078659148047628,,0.9427221627255922,370,1.119521407483413,0.6481901417639114,0.04546286542011348,0.18836816383824656,-0.10550910737432136,,,0.005969048100512921,57.22183497936538
logistic_Static 60/40_FF6,0.023843413293659736,1.8650539863693314,0.06217383735464027,*,0.954613264041662,370,1.086118970123828,0.6539210619442761,-0.06148081729075919,0.20803709510122853,-0.020814197200005397,logistic,Static 60/40,FF6,-0.14992379227908595,,logistic_Static 60/40_FF6_NET,0.0179293137134674,1.3985211468577912,0.16195662692541946,,0.9548033978046522,370,1.08473956979467,0.6517685311280955,-0.0601475118798466,0.20696186843695907,-0.025169870182150226,-0.15053802525649437,,0.005914099580192338,24.803913379989815
logistic_Static 60/40_FF7,0.02182668509557271,1.5843254520047778,0.11311967669892033,,0.9549390174623071,370,1.0883656705412912,0.6635980932696757,-0.060370917903290425,0.16339855242848048,-0.011889887374089464,logistic,Static 60/40,FF7,-0.16718397938510843,0.06868586146593852,logistic_Static 60/40_FF7_NET,0.016103547391578935,1.1689240184634642,0.24243424554067605,,0.9550709229151777,370,1.0867735325078738,0.6605292545148812,-0.059142707700360606,0.166550102514621,-0.01709059388616326,-0.1661638633627678,0.062182069340499045,0.005723137703993776,26.220828673405144
random_forest_Regime-Switching_FF5,0.01601585907837227,1.2226986804575004,0.2214435255660714,,0.9376426422052782,370,1.1387200590449444,0.6669468396431238,-0.0014505208170648401,0.16269302453086038,-0.07852902840793996,random_forest,Regime-Switching,FF5,,,random_forest_Regime-Switching_FF5_NET,0.010046810977859364,0.7617969397614963,0.44618120714291976,,0.9375213801734834,370,1.1374825773551922,0.6647797080989891,0.0003137014760352662,0.16154193087871677,-0.08321250566929723,,,0.005969048100512906,37.2696092748061
random_forest_Regime-Switching_FF6,0.029008552642770427,2.037479416736723,0.04160202255796282,**,0.9482986046090777,370,1.1051630973265305,0.6703992125735616,-0.10334172679175513,0.18063193388366938,-0.0010190149615617048,random_forest,Regime-Switching,FF6,-0.14523668346404442,,random_forest_Regime-Switching_FF6_NET,0.023094453062578093,1.616751613577718,0.10593190780119653,,0.9482868699239845,370,1.1037836969973724,0.6682466817573806,-0.10200842138084243,0.17955670721939998,-0.005374687943706401,-0.14585091644145284,,0.005914099580192334,20.38743419233037
random_forest_Regime-Switching_FF7,0.025998405495423635,1.6994541602262827,0.08923364461678812,*,0.9489876863598631,370,1.1085164985726628,0.6848430470310665,-0.10168510272203568,0.1140049179002491,0.012301315358614794,random_forest,Regime-Switching,FF7,-0.17099905591917977,0.10251978930575517,random_forest_Regime-Switching_FF7_NET,0.020275267791429838,1.3251130406125518,0.18513366153165878,,0.9488923752473408,370,1.106924360539245,0.6817742082762718,-0.10045689251910592,0.11715646798638961,0.0071006088465412325,-0.16997893989683918,0.09601599718031584,0.005723137703993797,22.01341811135768
random_forest_Buy&Hold Offensive_FF5,0.013808696162364806,1.0387518339911073,0.29892016750049777,,0.9382531608127459,370,1.1520299238765546,0.6712256177512499,0.013457926875519336,0.12894658590124572,-0.1430355515589649,random_forest,Buy&Hold Offensive,FF5,,,random_forest_Buy&Hold Offensive_FF5_NET,0.007944972439592064,0.5940261111905227,0.5524946488826132,,0.9383093837810206,370,1.1512008269616743,0.6684443665160488,0.01509218796068462,0.1268038411736494,-0.14725935861743503,,,0.005863723722772742,42.46399264511408
random_forest_Buy&Hold Offensive_FF6,0.02825884480434901,1.9365116104630498,0.052805071936682504,*,0.9508894283991313,370,1.114708710811609,0.6750652605293329,-0.09986292259635021,0.14889779196474187,-0.056830854281150214,random_forest,Buy&Hold Offensive,FF6,-0.16152860482101664,,random_forest_Buy&Hold Offensive_FF6_NET,0.022443535586687473,1.5374480654730347,0.12418362365474975,,0.9510488449058274,370,1.1137545710265515,0.6722968738264982,-0.09860833738732243,0.1468218927618436,-0.060765836784221615,-0.16206979838638869,,0.005815309217661536,20.578722371434537
