model,alpha_ann,t_stat,p_value,stars,r_squared,n_obs,beta_MKTRF,beta_SMB,beta_MGMT,beta_PERF,ml_model,strategy,factor_model,beta_R_MKT,beta_R_ME,beta_R_IA,beta_R_ROE,beta_R_EG
lstm_expanding_Regime-Switching_Q5,0.020595916419103757,1.430461183427776,0.1525846988740027,,0.9302344353814754,306,,,,,lstm_expanding,Regime-Switching,Q5,1.1081874862903718,0.5877411086635659,-0.11582450262681386,-0.0783977622239405,0.1301866032415088
lstm_expanding_Buy&Hold Offensive_M4,0.0338816766629444,1.8233407556822794,0.06825179720652816,*,0.937207514603907,306,1.0742717330678007,0.6284641595348281,-0.24664237762643512,-0.0800664650885101,lstm_expanding,Buy&Hold Offensive,M4,,,,,
lstm_expanding_Buy&Hold Offensive_Q5,0.03150813799452365,1.4877437405438303,0.13681848753158732,,0.930574980648633,306,,,,,lstm_expanding,Buy&Hold Offensive,Q5,1.115206495418516,0.5459008162992797,-0.2601504642362228,-0.1363589578031031,0.0451383501985519
lstm_expanding_Buy&Hold Defensive_M4,0.019817190710405788,1.4091788230037148,0.15878229799612553,,0.9160971336599106,306,1.0282964632740907,0.5762672776307024,0.01491531498168539,-0.06283213747627803,lstm_expanding,Buy&Hold Defensive,M4,,,,,
lstm_expanding_Buy&Hold Defensive_Q5,0.024684524960982005,1.3920091497003013,0.16391962727897447,,0.9056676361906766,306,,,,,lstm_expanding,Buy&Hold Defensive,Q5,1.041879215163819,0.4758710700083606,0.07869135482819196,-0.012136182380007729,-0.0067075632878688335
lstm_expanding_Static 60/40_M4,0.02825588467978956,1.716116962923593,0.0861406371486756,*,0.9351052639662407,306,1.0558816576339958,0.6075854255633062,-0.14201930650799516,-0.07317273669116904,lstm_expanding,Static 60/40,M4,,,,,
lstm_expanding_Static 60/40_Q5,0.02877869455469666,1.4829882913294754,0.1380775216406733,,0.9266658618355491,306,,,,,lstm_expanding,Static 60/40,Q5,1.0858756178547084,0.5178889342847209,-0.12461374477289582,-0.08666985325482927,0.024399993812370725
lstm_rolling_10y_Regime-Switching_M4,0.0216045576408081,1.5843286044206115,0.11311895969095458,,0.9310602052822586,306,1.0747206069234783,0.6444323995043648,-0.08241994282534666,-0.017836121411704337,lstm_rolling_10y,Regime-Switching,M4,,,,,
lstm_rolling_10y_Regime-Switching_Q5,0.022211648952926065,1.443130412183715,0.14898373769408899,,0.9290792132377992,306,,,,,lstm_rolling_10y,Regime-Switching,Q5,1.0914543064428937,0.5651302558504047,-0.08479417320983171,-0.09902856422199594,0.13392883808318498
lstm_rolling_10y_Buy&Hold Offensive_M4,0.0338816766629444,1.8233407556822794,0.06825179720652816,*,0.937207514603907,306,1.0742717330678007,0.6284641595348281,-0.24664237762643512,-0.0800664650885101,lstm_rolling_10y,Buy&Hold Offensive,M4,,,,,
lstm_rolling_10y_Buy&Hold Offensive_Q5,0.03150813799452365,1.4877437405438303,0.13681848753158732,,0.930574980648633,306,,,,,lstm_rolling_10y,Buy&Hold Offensive,Q5,1.115206495418516,0.5459008162992797,-0.2601504642362228,-0.1363589578031031,0.0451383501985519
lstm_rolling_10y_Buy&Hold Defensive_M4,0.019817190710405788,1.4091788230037148,0.15878229799612553,,0.9160971336599106,306,1.0282964632740907,0.5762672776307024,0.01491531498168539,-0.06283213747627803,lstm_rolling_10y,Buy&Hold Defensive,M4,,,,,
lstm_rolling_10y_Buy&Hold Defensive_Q5,0.024684524960982005,1.3920091497003013,0.16391962727897447,,0.9056676361906766,306,,,,,lstm_rolling_10y,Buy&Hold Defensive,Q5,1.041879215163819,0.4758710700083606,0.07869135482819196,-0.012136182380007729,-0.0067075632878688335
lstm_rolling_10y_Static 60/40_M4,0.02825588467978956,1.716116962923593,0.0861406371486756,*,0.9351052639662407,306,1.0558816576339958,0.6075854255633062,-0.14201930650799516,-0.07317273669116904,lstm_rolling_10y,Static 60/40,M4,,,,,
lstm_rolling_10y_Static 60/40_Q5,0.02877869455469666,1.4829882913294754,0.1380775216406733,,0.9266658618355491,306,,,,,lstm_rolling_10y,Static 60/40,Q5,1.0858756178547084,0.5178889342847209,-0.12461374477289582,-0.08666985325482927,0.024399993812370725
