,MVP,VW,MVP50,TE,NZ
Rendement (%),9.668859817880811,14.06281628012783,9.600748013856563,12.908347531764818,12.01149357211416
Volatilité (%),12.509975618986632,14.453083530177263,12.207705933077852,17.446037156529787,17.687262679923272
Ratio de Sharpe Annualisé,0.6484240559210313,0.8668527077205133,0.6587486363453874,0.6516051365512979,0.591903714540931
Max Drawdown (%),-18.72261161497559,-21.48883153466008,-18.57088299734826,-30.21701631528122,-30.302217803613917
Réduction Empreinte Carbone (%),,,49.99999963496814,52.5114566345203,30.696833063064943
WACI Moyenne (tCO2e/M$),428.66635791707705,181.61288081367564,209.61157928794407,82.17263117230662,110.64209360487861
TE Annualisé (%),,,1.3497213026364652,7.124997866198246,7.424559144196248
