,MVP,VW,MVP50,TE,NZ
Rendement (%),8.553047297982692,14.073334449171316,8.644285392123365,14.747163575726374,14.744088217026107
Volatilité (%),11.94945670745903,14.451761972777197,11.701131301972548,16.305713472158985,16.402937799167653
Ratio de Sharpe Annualisé,0.5863427906202909,0.8676660180076926,0.6063235453095107,0.8105395498817605,0.8055118599605212
Max Drawdown (%),-17.426083815898153,-21.480063023215067,-17.253854866267194,-30.274939230290855,-30.343839586203558
Réduction Empreinte Carbone (%),,,49.99999957509355,49.99999944612005,21.35341281454055
WACI Moyenne (tCO2e/M$),423.3425036934714,181.51257393531878,199.4212742405518,98.68870337697098,144.82218808647258
TE Annualisé (%),,,1.4337577244253223,4.865370836132929,4.89579891540571
