,MVP,VW,MVP50,TE,NZ
Rendement (%),8.748742460401571,14.07360477134582,8.807094556869966,16.754447794709563,16.568827841305627
Volatilité (%),11.717166403614755,14.447918279529892,11.601096093190762,14.58431215114365,14.630332273001127
Ratio de Sharpe Annualisé,0.6142539129398552,0.8679211627105111,0.6252830676510657,1.0434278569492617,1.0271313303131424
Max Drawdown (%),-17.425897254373478,-21.430674535596683,-17.251186695364428,-18.494231835758757,-17.82911777478925
Réduction Empreinte Carbone (%),,,49.99999955639682,50.02006485486601,23.506447417480047
WACI Moyenne (tCO2e/M$),411.7616786248907,181.3825059594228,198.02944951081318,99.09080136337901,147.7483516284204
TE Annualisé (%),,,1.1903770130383953,3.5042051634675433,3.530099034871159
