,MVP,VW,MVP50,TE,NZ
Rendement (%),8.109619906753721,14.06090270753604,8.163717878568358,13.665674746939349,12.829604351000027
Volatilité (%),11.793640548402445,14.448328362251692,11.57796942975351,15.862472780752803,15.948236900068125
Ratio de Sharpe Annualisé,0.5567267354083689,0.8670110050470528,0.5715851794957979,0.7651111111670251,0.7083762310101182
Max Drawdown (%),-17.426083815898153,-21.47770590438882,-17.253854866267204,-30.25966508514839,-30.337701203771093
Réduction Empreinte Carbone (%),,,49.99999941448262,50.00647584147271,24.25355852440445
WACI Moyenne (tCO2e/M$),421.60184808964647,181.49488081961042,205.3726240257329,92.48843815228128,140.58265486630114
TE Annualisé (%),,,1.2981725040751393,4.856843238699564,4.90360735951285
