basket,strategy,factor_model,mean_alpha,mean_t_stat,mean_score,n_models
Basket_2_Beta_Expansion,High Beta (Offensive),FF5,0.015913974748544484,1.2166707138607622,0.015913974748544484,5
Basket_2_Beta_Expansion,High Beta (Offensive),FF6,0.028476864200288297,1.9220569122887892,0.04271529630043244,5
Basket_2_Beta_Expansion,High Beta (Offensive),FF7,0.026224884584386328,1.662478577799756,0.03933732687657949,5
Basket_2_Beta_Expansion,High Beta (Offensive),M4,0.033792714423122615,1.7229202407654234,0.050689071634683926,5
Basket_2_Beta_Expansion,High Beta (Offensive),Q5,0.02870326284898503,1.524594898582044,0.02870326284898503,5
Basket_2_Beta_Expansion,Low Beta (Defensive),FF5,0.004444394766588077,0.4118048810135143,0.004444394766588077,5
Basket_2_Beta_Expansion,Low Beta (Defensive),FF6,0.01796956493922489,1.6872481731668336,0.026954347408837336,5
Basket_2_Beta_Expansion,Low Beta (Defensive),FF7,0.016198580667175822,1.4012538454008643,0.016198580667175822,5
Basket_2_Beta_Expansion,Low Beta (Defensive),M4,0.020693122391044375,1.5275000330021664,0.020693122391044375,5
Basket_2_Beta_Expansion,Low Beta (Defensive),Q5,0.023199459632317787,1.6111474844644451,0.023199459632317787,5
Basket_3_Rolling_Beta,High Beta (Offensive),FF5,0.012983738995323593,0.8960144521930488,0.012983738995323593,5
Basket_3_Rolling_Beta,High Beta (Offensive),FF6,0.02769046558466795,1.7089573042029358,0.041535698377001926,5
Basket_3_Rolling_Beta,High Beta (Offensive),FF7,0.025226867635891836,1.464656716787635,0.025226867635891836,5
Basket_3_Rolling_Beta,High Beta (Offensive),M4,0.0361182048189073,1.7357428155755774,0.05417730722836095,5
Basket_3_Rolling_Beta,High Beta (Offensive),Q5,0.03160559871378808,1.5358122468513837,0.03160559871378808,5
Basket_3_Rolling_Beta,Low Beta (Defensive),FF5,0.009794327003515046,0.9384844076917613,0.009794327003515046,5
Basket_3_Rolling_Beta,Low Beta (Defensive),FF6,0.020994057883819153,2.092931422861108,0.04198811576763831,5
Basket_3_Rolling_Beta,Low Beta (Defensive),FF7,0.01938592291572104,1.7902973522429426,0.02907888437358156,5
Basket_3_Rolling_Beta,Low Beta (Defensive),M4,0.020215488954122,1.618591673138851,0.020215488954122,5
Basket_3_Rolling_Beta,Low Beta (Defensive),Q5,0.022684681356893954,1.68312407649491,0.03402702203534093,5
Basket_4_EWMA_Beta,High Beta (Offensive),FF5,0.01195090155207055,0.8410022874943769,0.01195090155207055,5
Basket_4_EWMA_Beta,High Beta (Offensive),FF6,0.026779370315282082,1.7027658163358876,0.040169055472923126,5
Basket_4_EWMA_Beta,High Beta (Offensive),FF7,0.023473727228082497,1.3976815805883995,0.023473727228082497,5
Basket_4_EWMA_Beta,High Beta (Offensive),M4,0.03733112818173946,1.846401024362589,0.05599669227260919,5
Basket_4_EWMA_Beta,High Beta (Offensive),Q5,0.030281288171686828,1.492660376373442,0.030281288171686828,5
Basket_4_EWMA_Beta,Low Beta (Defensive),FF5,0.010755550826154824,0.970839901910089,0.010755550826154824,5
Basket_4_EWMA_Beta,Low Beta (Defensive),FF6,0.02206102602942982,2.02946090864602,0.04412205205885964,5
Basket_4_EWMA_Beta,Low Beta (Defensive),FF7,0.02122033859025113,1.7847542909830694,0.031830507885376697,5
Basket_4_EWMA_Beta,Low Beta (Defensive),M4,0.019660776235067526,1.4956112971159181,0.019660776235067526,5
Basket_4_EWMA_Beta,Low Beta (Defensive),Q5,0.02441687632131128,1.7615831296544093,0.03662531448196692,5
Basket_5_Kalman_Beta,High Beta (Offensive),FF5,0.01428341713406583,0.9987239872100607,0.01428341713406583,5
Basket_5_Kalman_Beta,High Beta (Offensive),FF6,0.02813536764739736,1.7493327003438401,0.04220305147109604,5
Basket_5_Kalman_Beta,High Beta (Offensive),FF7,0.025293893731768085,1.4706303134281113,0.025293893731768085,5
Basket_5_Kalman_Beta,High Beta (Offensive),M4,0.03739917555510938,1.814115850898275,0.05609876333266407,5
Basket_5_Kalman_Beta,High Beta (Offensive),Q5,0.03195870181823378,1.5433859482194645,0.03195870181823378,5
Basket_5_Kalman_Beta,Low Beta (Defensive),FF5,0.005388104857409096,0.5082618716352181,0.005388104857409096,5
Basket_5_Kalman_Beta,Low Beta (Defensive),FF6,0.017468989953578387,1.7374695348017535,0.02620348493036758,5
Basket_5_Kalman_Beta,Low Beta (Defensive),FF7,0.01629129036914326,1.503027184782907,0.01629129036914326,5
Basket_5_Kalman_Beta,Low Beta (Defensive),M4,0.017225160223405048,1.3533475482808002,0.017225160223405048,5
Basket_5_Kalman_Beta,Low Beta (Defensive),Q5,0.020336747343266445,1.5067056967397703,0.020336747343266445,5
