"COU","Country","POL","Pollutant","VAR","Variable","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","GHG","Greenhouse gases","INDEX_1990","Total GHG excl. LULUCF, Index 1990=100","1993","1993","IDX","Index","0","Units",,,100.965,,
"AUS","Australia","GHG","Greenhouse gases","INDEX_1990","Total GHG excl. LULUCF, Index 1990=100","1994","1994","IDX","Index","0","Units",,,101.04,,
"AUS","Australia","GHG","Greenhouse gases","INDEX_1990","Total GHG excl. LULUCF, Index 1990=100","1995","1995","IDX","Index","0","Units",,,102.972,,
"AUS","Australia","GHG","Greenhouse gases","INDEX_1990","Total GHG excl. LULUCF, Index 1990=100","1996","1996","IDX","Index","0","Units",,,104.456,,
"AUS","Australia","GHG","Greenhouse gases","INDEX_1990","Total GHG excl. LULUCF, Index 1990=100","1997","1997","IDX","Index","0","Units",,,107.255,,
"AUS","Australia","GHG","Greenhouse gases","INDEX_1990","Total GHG excl. LULUCF, Index 1990=100","1998","1998","IDX","Index","0","Units",,,110.496,,
"AUS","Australia","GHG","Greenhouse gases","INDEX_1990","Total GHG excl. LULUCF, Index 1990=100","1999","1999","IDX","Index","0","Units",,,111.851,,
"AUS","Australia","GHG","Greenhouse gases","INDEX_1990","Total GHG excl. LULUCF, Index 1990=100","2000","2000","IDX","Index","0","Units",,,114.503,,
"AUS","Australia","GHG","Greenhouse gases","INDEX_1990","Total GHG excl. LULUCF, Index 1990=100","2001","2001","IDX","Index","0","Units",,,116.299,,
"AUS","Australia","GHG","Greenhouse gases","INDEX_1990","Total GHG excl. LULUCF, Index 1990=100","2002","2002","IDX","Index","0","Units",,,117.147,,
"AUS","Australia","GHG","Greenhouse gases","INDEX_1990","Total GHG excl. LULUCF, Index 1990=100","2003","2003","IDX","Index","0","Units",,,116.815,,
"AUS","Australia","GHG","Greenhouse gases","INDEX_1990","Total GHG excl. LULUCF, Index 1990=100","2004","2004","IDX","Index","0","Units",,,120.721,,
"AUS","Australia","GHG","Greenhouse gases","INDEX_1990","Total GHG excl. LULUCF, Index 1990=100","2005","2005","IDX","Index","0","Units",,,122.265,,
"AUS","Australia","GHG","Greenhouse gases","INDEX_1990","Total GHG excl. LULUCF, Index 1990=100","2006","2006","IDX","Index","0","Units",,,123.276,,
"AUS","Australia","GHG","Greenhouse gases","INDEX_1990","Total GHG excl. LULUCF, Index 1990=100","2007","2007","IDX","Index","0","Units",,,124.81,,
"AUS","Australia","GHG","Greenhouse gases","INDEX_1990","Total GHG excl. LULUCF, Index 1990=100","2008","2008","IDX","Index","0","Units",,,125.356,,
"AUS","Australia","GHG","Greenhouse gases","INDEX_1990","Total GHG excl. LULUCF, Index 1990=100","2009","2009","IDX","Index","0","Units",,,126.04,,
"AUS","Australia","GHG","Greenhouse gases","INDEX_1990","Total GHG excl. LULUCF, Index 1990=100","2010","2010","IDX","Index","0","Units",,,124.909,,
"AUS","Australia","GHG","Greenhouse gases","INDEX_1990","Total GHG excl. LULUCF, Index 1990=100","2011","2011","IDX","Index","0","Units",,,125.328,,
"AUS","Australia","GHG","Greenhouse gases","INDEX_1990","Total GHG excl. LULUCF, Index 1990=100","2012","2012","IDX","Index","0","Units",,,126.081,,
"AUS","Australia","GHG","Greenhouse gases","INDEX_1990","Total GHG excl. LULUCF, Index 1990=100","2013","2013","IDX","Index","0","Units",,,124.139,,
"AUS","Australia","GHG","Greenhouse gases","INDEX_1990","Total GHG excl. LULUCF, Index 1990=100","2014","2014","IDX","Index","0","Units",,,122.233,,
"AUS","Australia","GHG","Greenhouse gases","INDEX_1990","Total GHG excl. LULUCF, Index 1990=100","2015","2015","IDX","Index","0","Units",,,124.238,,
"AUS","Australia","GHG","Greenhouse gases","INDEX_1990","Total GHG excl. LULUCF, Index 1990=100","2016","2016","IDX","Index","0","Units",,,126.092,,
"AUS","Australia","GHG","Greenhouse gases","INDEX_1990","Total GHG excl. LULUCF, Index 1990=100","2017","2017","IDX","Index","0","Units",,,127.742,,
"AUS","Australia","GHG","Greenhouse gases","INDEX_1990","Total GHG excl. LULUCF, Index 1990=100","2018","2018","IDX","Index","0","Units",,,128.026,,
"AUS","Australia","GHG","Greenhouse gases","INDEX_1990","Total GHG excl. LULUCF, Index 1990=100","2019","2019","IDX","Index","0","Units",,,126.752,,
"AUS","Australia","GHG","Greenhouse gases","INDEX_1990","Total GHG excl. LULUCF, Index 1990=100","2020","2020","IDX","Index","0","Units",,,122.527,,
"AUS","Australia","GHG","Greenhouse gases","INDEX_1990","Total GHG excl. LULUCF, Index 1990=100","2021","2021","IDX","Index","0","Units",,,120.677,,
"AUS","Australia","GHG","Greenhouse gases","GHG_CAP","Total GHG excl. LULUCF per capita","1990","1990","KG_HAB","Kilograms per capita","3","Thousands",,,25.67,,
"AUS","Australia","GHG","Greenhouse gases","GHG_CAP","Total GHG excl. LULUCF per capita","1991","1991","KG_HAB","Kilograms per capita","3","Thousands",,,25.344,,
"AUS","Australia","GHG","Greenhouse gases","GHG_CAP","Total GHG excl. LULUCF per capita","1992","1992","KG_HAB","Kilograms per capita","3","Thousands",,,25.274,,
"AUS","Australia","GHG","Greenhouse gases","GHG_CAP","Total GHG excl. LULUCF per capita","1993","1993","KG_HAB","Kilograms per capita","3","Thousands",,,25.08,,
"AUS","Australia","GHG","Greenhouse gases","GHG_CAP","Total GHG excl. LULUCF per capita","1994","1994","KG_HAB","Kilograms per capita","3","Thousands",,,24.858,,
"AUS","Australia","GHG","Greenhouse gases","GHG_CAP","Total GHG excl. LULUCF per capita","1995","1995","KG_HAB","Kilograms per capita","3","Thousands",,,25.053,,
"AUS","Australia","GHG","Greenhouse gases","GHG_CAP","Total GHG excl. LULUCF per capita","1996","1996","KG_HAB","Kilograms per capita","3","Thousands",,,25.107,,
"AUS","Australia","GHG","Greenhouse gases","GHG_CAP","Total GHG excl. LULUCF per capita","1997","1997","KG_HAB","Kilograms per capita","3","Thousands",,,25.503,,
"AUS","Australia","GHG","Greenhouse gases","GHG_CAP","Total GHG excl. LULUCF per capita","1998","1998","KG_HAB","Kilograms per capita","3","Thousands",,,26.013,,
