country,year,brevets,NX,salary,gdp,pop,cho,ppa,public_spending,IDE,depreciation,ratio_dbrut
AUT,1996,9.610725934341048,0.20172873530591495,-0.006855331829064504,2.21576706611599,8.98206065310663,0.21548357454628997,-0.004415409206096954,0.04146822586089316,1.4067473397394314,0.056837620320745685,0.0021134106307718614
AUT,1997,9.652394528314963,-0.4286768365966065,-0.008272776149430228,2.14583509203429,8.983193944833525,-0.025326025326025348,-0.002641078043579159,0.016204308691882163,-0.3117222495832771,0.056120252553900185,-0.0030153008177671303
AUT,1998,9.73014555852275,-0.10421834255417517,0.03196810185023269,3.49288005154896,8.984291228514534,0.06515415939499714,-0.009559234989818921,0.04109844837309473,0.6700366567245177,0.06505138514152908,-0.008569936741163353
AUT,1999,9.96542895407631,-0.005611830831841136,0.02219962718183366,3.76192442578566,8.986236734927123,-0.14309120699071554,0.001231256014005977,0.04879871484284082,-0.3463920185763393,0.0766185969742672,-0.005695953778236285
AUT,2000,10.214788490586542,-0.1245196357543853,0.0031001326259947337,3.18952286581315,8.98864152657165,-0.002761844062035279,-0.017751697324860705,0.052545213601695506,2.1472450076053446,0.08955334262846093,-0.0004226118194274875
AUT,2001,10.232719354644704,-0.16401759365106072,-0.0030244434528235997,1.31698756998539,8.992469520516481,-0.1452918619514274,0.016958906065696944,0.013039215289007311,-0.3314771447806303,0.09309769910187016,0.0016563922774415207
AUT,2002,10.200178919145497,-1.0866816553548566,0.015134938001458709,1.48436877877085,8.997409617068044,0.2113659022931209,-0.025027973130074987,0.06188054519828934,-0.9775988218555473,0.08850509768111836,0.005214070820494632
AUT,2003,10.167465898288674,-7.0101692252406895,0.0023025295164686987,1.14156509806083,9.001869276790694,-0.015432098765432167,-0.012979223699930653,0.05238881073641277,35.604513574620476,0.07505609319621165,0.009367797825752922
AUT,2004,10.129945604818168,-0.16823419422580888,0.01899703476815806,2.56525526144894,9.00815576446059,0.24743991640543372,-0.011333285943266103,0.0422655927064306,-0.5528936145595931,0.07022819063781371,0.007545870472356553
AUT,2005,10.056337386630338,0.222995467631383,0.005436172934254246,2.32036513500399,9.014967374454484,-0.04808175573797957,0.004425816777358316,0.021895719129843227,23.293324204030082,0.06653578797940063,0.006255134826775199
AUT,2006,9.9616621165872,-0.8452258116788944,0.01499586540296427,3.26933615437249,9.020141631473704,-0.06370996128123896,-0.024842513073491834,0.06418268256147064,-0.8782914599115046,0.0595359692550661,-0.005322617235830052
AUT,2007,9.801786997709788,-2.4752484877620864,0.005859589202061866,3.77522447023948,9.023430987175102,-0.07725563909774447,0.009245644679435783,0.023390333084976955,4.666823706749529,0.06404714303156078,-0.006045329497646579
AUT,2008,9.59082949401417,-7.418370187960911,0.01654179841435499,1.45330580608418,9.026602733010979,-0.14483601548176805,-0.015619884250598792,0.06710006006283398,-0.9175792352286702,0.05682600298612428,-0.003355506805221231
AUT,2009,9.122055457108612,1.0074636777497017,0.01706939613563585,-3.58626483259779,9.028996297290893,0.2794187708432587,-0.012484827665708687,0.06731106748233229,1.440558581252097,0.03899544687279999,7.322775774132317e-05
AUT,2010,8.237479288613633,0.07438242115968863,-0.0045648342046190615,1.80898249539027,9.03134156871737,-0.09085831316328441,-0.0016831994096419,0.030228283332899064,-2.5761728637430723,0.04706240714046572,0.00048388232540674814
AUT,2011,7.515889085215125,1.100344842492604,-0.01077579683385299,2.92746795992078,9.03462105237027,-0.05037886545156678,-0.013013876468090269,0.027304900251541975,-1.9490319801724276,0.07130086726332396,-0.006573751011532569
AUT,2012,7.455298485683291,-0.14391913507986032,0.005676080903277203,0.628246220372857,9.03911435142345,0.0586586154841493,-0.02132171879280753,0.05973353456272523,-0.7605865410542381,0.07434248294722612,0.0008335970327379982
AUT,2013,7.467942332285852,-0.3148740552031313,0.0004259656489129515,-0.250726440079771,9.045139024480513,0.09329802403748211,-0.02036035873847941,0.04707350086613249,-0.9177354004514816,0.07565749733142657,-0.003959008863191338
AUT,2014,7.473637108496206,-0.5581025140249826,0.0038016453521083626,0.755798904851364,9.052976602366806,0.057201416061114285,0.0021527736141508935,0.026441169903996586,2.689205135476508,0.06840613895666792,0.006067442900251407
AUT,2015,7.502186486602924,-0.08824391526961384,0.0072715153535016785,1.30352326671129,9.062944046718846,0.022559041240747035,1.9669567638214147e-05,0.02333042591186807,-6.397473796539773,0.062352107591268746,0.003655934887851986
