,Low,Q2,Q3,Q4,High,Total
Small,133.26666666666668,83.61333333333333,96.58666666666667,108.0,130.52,551.9866666666667
Q2,99.30666666666667,72.4,76.82666666666667,79.81333333333333,88.34666666666666,416.6933333333334
Q3,79.28,62.906666666666666,68.89333333333333,68.04,64.45333333333333,343.5733333333333
Q4,65.13333333333334,69.98666666666666,65.24,59.266666666666666,50.48,310.1066666666667
Big,50.92,69.2,72.72,52.49333333333333,39.72,285.05333333333334
Total,427.9066666666667,358.1066666666666,380.26666666666665,367.61333333333334,373.52,1907.4133333333334
