,Low,Q2,Q3,Q4,High,Total
Small,112.8,65.48648648648648,56.7972972972973,59.21621621621622,112.0945945945946,406.39459459459454
Q2,77.13333333333334,55.17567567567568,49.83783783783784,46.891891891891895,78.62162162162163,307.66036036036036
Q3,59.22666666666667,48.7027027027027,47.189189189189186,44.391891891891895,60.75675675675676,260.2672072072072
Q4,47.733333333333334,48.351351351351354,49.986486486486484,42.17567567567568,48.445945945945944,236.69279279279277
Big,37.013333333333335,52.270270270270274,51.41891891891892,45.891891891891895,36.432432432432435,223.02684684684687
Total,333.90666666666664,269.9864864864865,255.22972972972974,238.56756756756758,336.35135135135135,1434.0418018018017
