,Low,Q2,Q3,Q4,High,Total
Small,113.4,81.62162162162163,77.05405405405405,88.60810810810811,135.44594594594594,496.1297297297298
Q2,79.84,64.13513513513513,62.95945945945946,69.70270270270271,98.4054054054054,375.04270270270274
Q3,62.986666666666665,54.432432432432435,56.148648648648646,62.554054054054056,75.77027027027027,311.8920720720721
Q4,57.76,51.95945945945946,55.66216216216216,58.972972972972975,58.689189189189186,283.04378378378374
Big,48.346666666666664,48.08108108108108,57.25675675675676,59.729729729729726,49.067567567567565,262.4818018018018
Total,362.33333333333337,300.22972972972974,309.0810810810811,339.5675675675676,417.37837837837833,1728.5900900900901
