,Low,Q2,Q3,Q4,High,Total
Small,117.53333333333333,74.5068493150685,85.47297297297297,86.0945945945946,123.14864864864865,486.756398864618
Q2,85.58666666666667,52.648648648648646,65.12162162162163,67.62162162162163,90.3108108108108,361.2893693693694
Q3,70.62666666666667,42.770270270270274,59.5,60.62162162162162,71.70270270270271,305.22126126126125
Q4,66.52,39.851351351351354,55.24324324324324,55.7972972972973,59.445945945945944,276.85783783783785
Big,55.74666666666667,36.25675675675676,53.351351351351354,57.82432432432432,53.62162162162162,256.80072072072073
Total,396.0133333333333,246.03387634209554,318.68918918918916,327.9594594594595,398.22972972972974,1686.9255880538071
