,Low,Q2,Q3,Q4,High,Total
Small,176.53333333333333,98.4,84.90666666666667,89.58666666666667,103.25333333333333,552.6800000000001
Q2,110.42666666666666,77.02666666666667,67.26666666666667,74.54666666666667,86.74666666666667,416.0133333333333
Q3,72.74666666666667,64.92,62.61333333333334,63.12,79.2,342.6
Q4,56.986666666666665,58.04,57.653333333333336,60.86666666666667,75.18666666666667,308.73333333333335
Big,40.21333333333333,50.38666666666666,50.84,62.29333333333334,79.94666666666667,283.68
Total,456.90666666666664,348.77333333333337,323.2800000000001,350.41333333333336,424.3333333333333,1903.706666666667
