,Low,Q2,Q3,Q4,High,Total
Small,153.72,89.74666666666667,84.88,102.16,121.42666666666666,551.9333333333333
Q2,103.2,73.68,70.90666666666667,80.41333333333333,88.45333333333333,416.6533333333333
Q3,74.56,64.16,66.84,71.54666666666667,66.45333333333333,343.56
Q4,59.45333333333333,67.29333333333334,66.33333333333333,61.666666666666664,55.29333333333334,310.03999999999996
Big,41.666666666666664,72.82666666666667,68.86666666666666,54.92,46.8,285.08000000000004
Total,432.6,367.70666666666665,357.82666666666665,370.7066666666667,378.4266666666667,1907.2666666666664
