,Low,Q2,Q3,Q4,High,Total
Small,170.2027027027027,92.90666666666667,79.22666666666667,73.65333333333334,80.04,496.02936936936936
Q2,117.12,73.90666666666667,63.95945945945946,57.74666666666667,62.54666666666667,375.2794594594595
Q3,85.45333333333333,58.81333333333333,57.16216216216216,56.527027027027025,54.333333333333336,312.28918918918913
Q4,71.06666666666666,55.84,53.48,51.57333333333333,50.0,281.96
Big,66.0,57.21333333333333,48.49333333333333,47.026666666666664,41.88,260.61333333333334
Total,509.8427027027027,338.68,302.3216216216216,286.52702702702703,288.8,1726.1713513513514
