,Low,Q2,Q3,Q4,High,Total
Small,68.33333333333333,84.85333333333334,89.82666666666667,104.30666666666667,155.6,502.91999999999996
Q2,60.56,66.36,68.56,74.56,98.32,368.36
Q3,58.24,57.013333333333335,58.693333333333335,60.92,72.98666666666666,307.85333333333335
Q4,54.733333333333334,52.48,56.013333333333335,54.72,59.586666666666666,277.53333333333336
Big,44.52,55.666666666666664,50.32,50.8,55.013333333333335,256.32
Total,286.38666666666666,316.3733333333334,323.4133333333333,345.3066666666667,441.5066666666666,1712.9866666666665
