,Low,Q2,Q3,Q4,High,Total
Small,111.58666666666667,104.64864864864865,58.0958904109589,80.55405405405405,113.05405405405405,467.93931383438235
Q2,77.61333333333333,84.48648648648648,45.83783783783784,62.513513513513516,84.20270270270271,354.65387387387386
Q3,59.373333333333335,73.97297297297297,40.95945945945946,57.2027027027027,68.54054054054055,300.049009009009
Q4,53.78666666666667,67.70270270270271,39.472972972972975,56.13513513513514,58.9054054054054,276.0028828828829
Big,41.89333333333333,64.89189189189189,40.270270270270274,59.5945945945946,50.054054054054056,256.70414414414415
Total,344.25333333333333,395.7027027027027,224.63643095149945,316.0,374.7567567567568,1655.3492237442924
