,Low,Q2,Q3,Q4,High,Total
Small,104.96,68.98648648648648,83.3108108108108,81.27027027027027,104.0,442.5275675675676
Q2,75.16,49.24324324324324,64.64864864864865,65.04054054054055,79.70270270270271,333.7951351351352
Q3,63.12,39.58108108108108,57.567567567567565,56.58108108108108,64.43243243243244,281.2821621621622
Q4,59.18666666666667,40.0945945945946,54.486486486486484,51.608108108108105,52.013513513513516,257.3893693693694
Big,49.48,37.16216216216216,55.62162162162162,55.729729729729726,42.986486486486484,240.98
Total,351.9066666666667,235.06756756756758,315.63513513513516,310.22972972972974,343.1351351351351,1555.9742342342345
