,Low,Q2,Q3,Q4,High,Total
Small,120.24,98.67567567567568,84.86486486486487,85.17567567567568,126.71621621621621,515.6724324324324
Q2,85.77333333333333,83.21621621621621,70.47297297297297,67.47297297297297,86.43243243243244,393.36792792792795
Q3,65.8,73.8108108108108,61.986486486486484,59.391891891891895,66.5,327.4891891891892
Q4,55.8,72.06756756756756,58.945945945945944,56.472972972972975,53.810810810810814,297.0972972972973
Big,47.986666666666665,69.32432432432432,55.608108108108105,56.66216216216216,45.25675675675676,274.83801801801803
Total,375.6,397.0945945945946,331.8783783783784,325.17567567567573,378.71621621621625,1808.464864864865
