,Low,Q2,Q3,Q4,High,Total
Small,125.34666666666666,76.47297297297297,73.5945945945946,90.12162162162163,134.45945945945945,499.99531531531534
Q2,88.24,64.08219178082192,61.054054054054056,71.27027027027027,95.52702702702703,380.1735431321733
Q3,66.97333333333333,55.810810810810814,55.054054054054056,63.270270270270274,74.04054054054055,315.149009009009
Q4,58.08,55.5,57.04054054054054,58.067567567567565,57.270270270270274,285.95837837837837
Big,47.72,50.932432432432435,59.648648648648646,58.54054054054054,47.5945945945946,264.4362162162162
Total,386.3599999999999,302.7984079970381,306.3918918918919,341.27027027027026,408.8918918918919,1745.7124620510924
