,Low,Q2,Q3,Q4,High,Total
Small,124.53333333333333,71.66216216216216,85.21621621621621,96.3108108108108,141.28378378378378,519.0063063063062
Q2,87.12,56.648648648648646,68.54054054054055,75.97297297297297,106.70270270270271,394.9848648648649
Q3,71.22666666666667,46.62162162162162,59.527027027027025,66.87837837837837,84.22972972972973,328.48342342342346
Q4,63.86666666666667,46.351351351351354,56.689189189189186,63.932432432432435,66.85135135135135,297.690990990991
Big,53.76,41.41891891891892,60.554054054054056,62.648648648648646,57.229729729729726,275.61135135135135
Total,400.50666666666666,262.7027027027027,330.52702702702703,365.7432432432432,456.2972972972973,1815.776936936937
