,Low,Q2,Q3,Q4,High,Total
Small,98.41333333333333,70.67123287671232,49.391891891891895,69.48648648648648,119.6891891891892,407.65213377761324
Q2,68.17333333333333,59.391891891891895,42.74324324324324,57.37837837837838,79.4054054054054,307.09225225225225
Q3,55.4,55.37837837837838,39.25675675675676,50.7972972972973,58.86486486486486,259.69729729729727
Q4,46.85333333333333,56.5945945945946,42.432432432432435,47.28378378378378,43.391891891891895,236.55603603603606
Big,42.266666666666666,57.33783783783784,44.62162162162162,45.891891891891895,32.17567567567568,222.2936936936937
Total,311.1066666666666,299.37393557941505,218.44594594594594,270.8378378378378,333.527027027027,1433.2914130568927
