,Low,Q2,Q3,Q4,High,Total
Small,115.01333333333334,74.3108108108108,80.02702702702703,96.25675675675676,146.35135135135135,511.9592792792793
Q2,83.25333333333333,60.82432432432432,62.729729729729726,78.60810810810811,106.29729729729729,391.7127927927928
Q3,66.68,52.945945945945944,56.86486486486486,67.47297297297297,82.71621621621621,326.68
Q4,61.54666666666667,50.71621621621622,58.17567567567568,61.229729729729726,64.91891891891892,296.5872072072072
Big,50.78666666666667,48.486486486486484,59.972972972972975,61.189189189189186,54.08108108108108,274.5163963963964
Total,377.28000000000003,287.28378378378375,317.77027027027026,364.7567567567567,454.36486486486484,1801.4556756756758
