,Low,Q2,Q3,Q4,High,Total
Small,135.2,75.48,94.13333333333334,111.77333333333333,131.82666666666665,548.4133333333333
Q2,98.94666666666667,63.413333333333334,71.96,84.02666666666667,94.66666666666667,413.0133333333334
Q3,73.96,61.2,61.48,67.85333333333334,75.37333333333333,339.8666666666667
Q4,64.94666666666667,58.54666666666667,56.53333333333333,61.04,65.33333333333333,306.4
Big,48.70666666666666,52.85333333333333,57.14666666666667,56.8,65.89333333333333,281.4
Total,421.75999999999993,311.4933333333334,341.25333333333333,381.4933333333334,433.0933333333333,1889.0933333333337
