,Low,Q2,Q3,Q4,High,Total
Small,151.74666666666667,83.61333333333333,74.84,68.08,72.76,451.04
Q2,101.22666666666667,60.04,57.346666666666664,58.28,65.62666666666667,342.52
Q3,68.72,48.84,48.973333333333336,50.986666666666665,61.586666666666666,279.1066666666666
Q4,48.2,43.17333333333333,45.49333333333333,50.4,58.48,245.74666666666667
Big,32.28,34.653333333333336,42.70666666666666,50.16,63.12,222.92000000000002
Total,402.1733333333334,270.32000000000005,269.36,277.90666666666664,321.5733333333333,1541.3333333333333
