,Low,Q2,Q3,Q4,High,Total
Small,148.09333333333333,96.14666666666666,88.30666666666667,89.18666666666667,96.01333333333334,517.7466666666667
Q2,103.52,74.92,67.89333333333333,68.92,65.24,380.49333333333334
Q3,80.01333333333334,64.05333333333333,60.373333333333335,54.57333333333333,54.346666666666664,313.36
Q4,70.44,58.57333333333333,55.06666666666667,49.44,46.373333333333335,279.8933333333333
Big,66.41333333333333,59.16,46.626666666666665,45.54666666666667,39.18666666666667,256.93333333333334
Total,468.48,352.85333333333335,318.26666666666665,307.6666666666667,301.16,1748.4266666666667
