,Low,Q2,Q3,Q4,High,Total
Small,129.34666666666666,130.0754716981132,90.63380281690141,124.45945945945945,142.02702702702703,616.5424276681679
Q2,108.18666666666667,91.81818181818181,71.44444444444444,105.52702702702703,127.16216216216216,504.1384821184821
Q3,94.72,71.39285714285714,56.95890410958904,85.77027027027027,105.08108108108108,413.92311260379756
Q4,96.14666666666666,66.23636363636363,49.794520547945204,70.5,83.5945945945946,366.2721454455701
Big,96.97333333333333,66.14285714285714,47.58904109589041,57.554054054054056,66.62162162162163,334.88090724775657
Total,525.3733333333333,425.665731438373,316.4207130147705,443.81081081081084,524.4864864864865,2235.757075083774
