,Low,Q2,Q3,Q4,High,Total
Small,77.06666666666666,88.8,91.34666666666666,97.90666666666667,192.68,547.8
Q2,63.693333333333335,66.8,69.73333333333333,79.18666666666667,132.18666666666667,411.6
Q3,60.61333333333334,58.4,59.50666666666667,64.10666666666667,95.56,338.18666666666667
Q4,58.8,55.093333333333334,56.06666666666667,58.333333333333336,76.72,305.0133333333333
Big,47.93333333333333,51.413333333333334,53.36,57.10666666666667,69.86666666666666,279.68
Total,308.1066666666667,320.5066666666667,330.0133333333333,356.64,567.0133333333333,1882.28
