,Low,Q2,Q3,Q4,High,Total
Small,114.38666666666667,65.44594594594595,60.32432432432432,58.648648648648646,113.67567567567568,412.4812612612613
Q2,78.02666666666667,53.28378378378378,53.432432432432435,48.45945945945946,79.83783783783784,313.0401801801802
Q3,58.986666666666665,49.67567567567568,50.2972972972973,46.28378378378378,60.945945945945944,266.1893693693694
Q4,47.64,49.63513513513514,53.87837837837838,42.527027027027025,48.86486486486486,242.54540540540543
Big,36.8,53.5945945945946,53.729729729729726,47.851351351351354,36.63513513513514,228.61081081081082
Total,335.84000000000003,271.63513513513516,271.6621621621622,243.77027027027026,339.9594594594595,1462.8670270270272
