,Low,Q2,Q3,Q4,High,Total
Small,121.02666666666667,101.36486486486487,78.45945945945945,86.5,121.74324324324324,509.09423423423425
Q2,83.44,82.04054054054055,67.70270270270271,71.1891891891892,85.17567567567568,389.5481081081081
Q3,64.6,70.32432432432432,59.689189189189186,60.229729729729726,69.28378378378379,324.12702702702705
Q4,55.093333333333334,65.31506849315069,58.82432432432432,55.36486486486486,60.9054054054054,295.5029964210786
Big,46.973333333333336,60.108108108108105,54.32432432432432,57.36486486486486,53.63513513513514,272.40576576576575
Total,371.1333333333333,379.15290633098857,319.0,330.6486486486486,390.7432432432433,1790.6781315562139
