,Low,Q2,Q3,Q4,High,Total
Small,147.18666666666667,105.82666666666667,90.73333333333333,84.8,98.13333333333334,526.6800000000001
Q2,100.57333333333334,78.96,73.14666666666666,68.22666666666667,75.72,396.62666666666667
Q3,74.45333333333333,67.34666666666666,60.586666666666666,59.85333333333333,66.12,328.36
Q4,61.61333333333334,60.56,59.013333333333335,61.653333333333336,52.92,295.76
Big,53.45333333333333,56.946666666666665,54.333333333333336,56.81333333333333,50.38666666666666,271.93333333333334
Total,437.28,369.64,337.81333333333333,331.34666666666664,343.28000000000003,1819.3600000000001
